"Name","Left","Top","Width","Height","BorderLTRB"
"Panel_Blue_1","16","16","48","48","3"
"Panel_Blue_1_Vertical","64","16","16","48","2"
"Panel_Blue_1_Horizontal","16","64","48","16","2"
"Panel_Blue_1_Corner","64","64","16","16","2"
"Panel_Cream_1","16","80","48","48","3"
"Panel_Cream_1_Vertical","64","80","16","48","2"
"Panel_Cream_1_Horizontal","16","128","48","16","2"
"Panel_Cream_1_Corner","64","128","16","16","2"
"Panel_Blue_2","80","16","48","48","3"
"Panel_Blue_2_Vertical","128","16","16","48","2"
"Panel_Blue_2_Horizontal","80","64","48","16","2"
"Panel_Blue_2_Corner","128","64","16","16","2"
"Panel_Cream_2","80","80","48","48","3"
"Panel_Cream_2_Vertical","128","80","16","48","2"
"Panel_Cream_2_Horizontal","80","128","48","16","2"
"Panel_Cream_2_Corner","128","128","16","16","2"
"Panel_Blue_3","144","16","48","48","3"
"Panel_Blue_3_Vertical","192","16","16","48","2"
"Panel_Blue_3_Horizontal","144","64","48","16","2"
"Panel_Blue_3_Corner","192","64","16","16","2"
"Panel_Cream_3","144","80","48","48","3"
"Panel_Cream_3_Vertical","192","80","16","48","2"
"Panel_Cream_3_Horizontal","144","128","48","16","2"
"Panel_Cream_3_Corner","192","128","16","16","2"
"Panel_Blue_4","208","16","48","48","3"
"Panel_Blue_4_Vertical","256","16","16","48","2"
"Panel_Blue_4_Horizontal","208","64","48","16","2"
"Panel_Blue_4_Corner","256","64","16","16","2"
"Panel_Cream_4","208","80","48","48","3"
"Panel_Cream_4_Vertical","256","80","16","48","2"
"Panel_Cream_4_Horizontal","208","128","48","16","2"
"Panel_Cream_4_Corner","256","128","16","16","2"
"Panel_OrnateWood","288","16","48","48","6"
"Panel_OrnateWood_Footer","288","64","48","16","5"
"Panel_Style1_1","352","16","48","48","6"
"Panel_Style1_1_Vertical","400","16","16","48","3"
"Panel_Style1_1_Horizontal","352","64","48","16","3"
"Panel_Style1_1_Corner","400","64","16","16","3"
"Panel_Style1_2","352","80","48","48","6"
"Panel_Style1_2_Vertical","400","80","16","48","3"
"Panel_Style1_2_Horizontal","352","128","48","16","3"
"Panel_Style1_3","352","144","48","48","6"
"Panel_Style1_3_Vertical","400","144","16","48","3"
"Panel_Style1_3_Horizontal","352","192","48","16","3"
"Panel_Style1_3_Corner","400","192","16","16","3"
"Panel_Style2_1","416","16","48","48","6"
"Panel_Style2_1_Vertical","464","16","16","48","3"
"Panel_Style2_1_Horizontal","416","64","48","16","3"
"Panel_Style2_1_Corner","464","64","16","16","3"
"Panel_Style2_2","416","80","48","48","6"
"Panel_Style2_2_Vertical","464","80","16","48","3"
"Panel_Style2_2_Horizontal","416","128","48","16","3"
"Panel_Style2_2_Corner","464","128","16","16","3"
"Panel_Style2_3","416","144","48","48","6"
"Panel_Style2_3_Vertical","464","144","16","48","3"
"Panel_Style2_3_Horizontal","416","192","48","16","3"
"Panel_Style2_3_Corner","464","192","16","16","3"
"Panel_CreamBevel","288","80","48","48","5"
"Panel_CreamBevel_Vertical","336","80","16","48","4"
"Panel_CreamBevel_Horizontal","288","128","48","16","4"
"Panel_CreamBevel_Corner","336","128","16","16","4"
"Panel_Note","288","144","48","48","4"
"Input_Cream","288","192","48","16","3"
"Status_R01_C01","496","16","16","16","0"
"Status_R01_C02","512","16","16","16","0"
"Status_R01_C03","528","16","16","16","0"
"Status_R01_C04","544","16","16","16","0"
"Status_R01_C05","560","16","16","16","0"
"Status_R01_C06","576","16","16","16","0"
"Status_R01_C07","592","16","16","16","0"
